epoch,dataset,total_loss,ade,fde,min_ade,min_fde,num_traj,min_fde_epoch
0,NuScene,7.958285537925926,4.719235951129858,10.955961735617272,4.719235951129858,10.955961735617272,5671,0
1,NuScene,6.250406018122201,3.1725272173773065,7.606813687408776,3.1725272173773065,7.606813687408776,5671,1
2,NuScene,5.566358070494829,2.528222601663034,6.044420751182517,2.528222601663034,6.044420751182517,5671,2
3,NuScene,5.261523748619188,2.3245915100280623,5.337021222465191,2.3245915100280623,5.337021222465191,5671,3
4,NuScene,5.105207967833987,2.244273547120583,5.1153644218034495,2.244273547120583,5.1153644218034495,5671,4
5,NuScene,5.021728310183235,2.2001241784187413,4.9924988330430065,2.2001241784187413,4.9924988330430065,5671,5
6,NuScene,4.9558328824126665,2.1910003496633177,4.89261391360048,2.1910003496633177,4.89261391360048,5671,6
7,NuScene,4.924871312036802,2.3233999149064877,5.015878685776507,2.1910003496633177,4.89261391360048,5671,6
8,NuScene,4.906213635291508,2.27642263178051,4.950061165115606,2.1910003496633177,4.89261391360048,5671,6
9,NuScene,4.885753386729473,2.2253448662567004,4.925854625913795,2.1910003496633177,4.89261391360048,5671,6
10,NuScene,4.872907533175615,2.136225282820081,4.799536389367876,2.136225282820081,4.799536389367876,5671,10
11,NuScene,4.866822069892823,2.234303548587859,4.909021877019079,2.136225282820081,4.799536389367876,5671,10
12,NuScene,4.86333034603319,2.245946125890859,4.9691409011972665,2.136225282820081,4.799536389367876,5671,10
13,NuScene,4.8538371087636785,2.2020849134740828,4.845095487650772,2.136225282820081,4.799536389367876,5671,10
14,NuScene,4.8419272478889015,2.133951382543691,4.756955281491213,2.133951382543691,4.756955281491213,5671,14
15,NuScene,4.827847578567238,2.120224714573467,4.700719856581052,2.120224714573467,4.700719856581052,5671,15
16,NuScene,4.795964048473558,2.098399691849952,4.603353738154165,2.098399691849952,4.603353738154165,5671,16
17,NuScene,4.776130585299009,1.9772635365558289,4.452499836299642,1.9772635365558289,4.452499836299642,5671,17
18,NuScene,4.761993772843304,1.9265295333741224,4.300649571977917,1.9265295333741224,4.300649571977917,5671,18
19,NuScene,4.746284565220576,2.0153891315033063,4.396799135620139,1.9265295333741224,4.300649571977917,5671,18
20,NuScene,4.730947555911939,1.8752837575442618,4.222265018523002,1.8752837575442618,4.222265018523002,5671,20
21,NuScene,4.723475278845273,1.9317056315850378,4.233054054622149,1.8752837575442618,4.222265018523002,5671,20
22,NuScene,4.710991425809875,1.8639258914598396,4.182567614597569,1.8639258914598396,4.182567614597569,5671,22
23,NuScene,4.703872771634585,1.9267421312757615,4.255681245252582,1.8639258914598396,4.182567614597569,5671,22
24,NuScene,4.698860511112668,1.9227184720443808,4.207935869367933,1.8639258914598396,4.182567614597569,5671,22
25,NuScene,4.697877159179299,2.0396359219498112,4.357481451813158,1.8639258914598396,4.182567614597569,5671,22
26,NuScene,4.687510720876139,1.992641387761869,4.313570472261216,1.8639258914598396,4.182567614597569,5671,22
27,NuScene,4.685724654902715,1.9100670563104691,4.189674906830711,1.8639258914598396,4.182567614597569,5671,22
28,NuScene,4.676899136723699,2.0615889818826862,4.407756829635951,1.8639258914598396,4.182567614597569,5671,22
29,NuScene,4.675070901364325,1.9712026626675707,4.28064129647282,1.8639258914598396,4.182567614597569,5671,22
30,NuScene,4.669580688537209,2.0639310482632567,4.398821295138033,1.8639258914598396,4.182567614597569,5671,22
31,NuScene,4.665311060573414,2.0422478539458955,4.386687243600683,1.8639258914598396,4.182567614597569,5671,22
32,NuScene,4.6633225973156565,1.9081747108530775,4.167295721972605,1.8639258914598396,4.182567614597569,5671,22
33,NuScene,4.656801422373858,2.008155230638359,4.340746085325512,1.8639258914598396,4.182567614597569,5671,22
34,NuScene,4.6511661555316,1.9368607459339888,4.2187802377484545,1.8639258914598396,4.182567614597569,5671,22
35,NuScene,4.652713579290054,2.029464393754292,4.354618284400021,1.8639258914598396,4.182567614597569,5671,22
36,NuScene,4.647256439554672,1.9263396605342138,4.216963648775061,1.8639258914598396,4.182567614597569,5671,22
37,NuScene,4.644067775653542,2.048451333003077,4.386481549285366,1.8639258914598396,4.182567614597569,5671,22
38,NuScene,4.643579486822665,1.9635736233888323,4.265621349938099,1.8639258914598396,4.182567614597569,5671,22
39,NuScene,4.635057035424941,2.0025261630248483,4.33215646436029,1.8639258914598396,4.182567614597569,5671,22
40,NuScene,4.637292432102755,1.9275372430690065,4.219830458009922,1.8639258914598396,4.182567614597569,5671,22
41,NuScene,4.636838682505209,1.9020361677508488,4.170597898752007,1.8639258914598396,4.182567614597569,5671,22
42,NuScene,4.632196474909214,1.9400201892331466,4.229901181434412,1.8639258914598396,4.182567614597569,5671,22
43,NuScene,4.625835726484775,1.8851205048538393,4.153125352275958,1.8851205048538393,4.153125352275958,5671,43
44,NuScene,4.627799731559329,2.0786292845137933,4.400626677471249,1.8851205048538393,4.153125352275958,5671,43
45,NuScene,4.623648536603288,1.991349889748186,4.308834350712399,1.8851205048538393,4.153125352275958,5671,43
46,NuScene,4.622527874520549,1.9000767002532857,4.180070354076231,1.8851205048538393,4.153125352275958,5671,43
47,NuScene,4.613910747825247,1.8981826256200596,4.166553158290045,1.8851205048538393,4.153125352275958,5671,43
48,NuScene,4.6094678809040115,2.037755693756195,4.343199956440206,1.8851205048538393,4.153125352275958,5671,43
49,NuScene,4.606938888992528,1.9958910682259823,4.324075389761833,1.8851205048538393,4.153125352275958,5671,43
