epoch,dataset,loss_type,total_loss,ade,fde,min_ade,min_fde,num_traj,min_fde_epoch
0,NuScene,minADE,11.655352357461076,4.626899125945566,10.952871649211897,4.626899125945566,10.952871649211897,5671,0
1,NuScene,minADE,8.12033916467324,2.6911719982595885,6.830168499220954,2.6911719982595885,6.830168499220954,5671,1
2,NuScene,minADE,6.607984317694635,1.8505346499681683,4.480062929374414,1.8505346499681683,4.480062929374414,5671,2
3,NuScene,minADE,5.942715826019384,1.6512579641273215,3.7927850088604838,1.6512579641273215,3.7927850088604838,5671,3
4,NuScene,minADE,5.618455069622288,1.5000959030431198,3.1781832177557865,1.5000959030431198,3.1781832177557865,5671,4
5,NuScene,minADE,5.453546852299822,1.5818897283302162,3.5303313107827714,1.5000959030431198,3.1781832177557865,5671,4
6,NuScene,minADE,5.353490871162596,1.4685539883966905,3.1482518370495,1.4685539883966905,3.1482518370495,5671,6
7,NuScene,minADE,5.2640059809237485,1.4725505845337774,3.237153656498252,1.4685539883966905,3.1482518370495,5671,6
8,NuScene,minADE,5.146512607701822,1.3106830615758518,2.8577065007898086,1.3106830615758518,2.8577065007898086,5671,8
9,NuScene,minADE,5.079624526261904,1.5440941073868855,3.3908342493629355,1.3106830615758518,2.8577065007898086,5671,8
10,NuScene,minADE,5.030534404639409,1.8715299193641746,4.014535247407206,1.3106830615758518,2.8577065007898086,5671,8
11,NuScene,minADE,5.010770248874003,1.3557758179948645,2.8914948037809594,1.3106830615758518,2.8577065007898086,5671,8
12,NuScene,minADE,4.991718170942297,1.4150052934154551,2.970079118455871,1.3106830615758518,2.8577065007898086,5671,8
13,NuScene,minADE,4.981293489519856,1.3732873499235807,2.877327027890107,1.3106830615758518,2.8577065007898086,5671,8
14,NuScene,minADE,4.96307782641655,1.398551702457348,2.9340462318868408,1.3106830615758518,2.8577065007898086,5671,8
15,NuScene,minADE,4.955563806767304,1.3634159896681073,2.7913511101687907,1.3634159896681073,2.7913511101687907,5671,15
16,NuScene,minADE,4.937774226093141,1.0472016395914598,2.1739337452293346,1.0472016395914598,2.1739337452293346,5671,16
17,NuScene,minADE,4.92253960107582,1.2569665759144963,2.5917342913632164,1.0472016395914598,2.1739337452293346,5671,16
18,NuScene,minADE,4.912827549374918,1.2950960437449759,2.64165867735019,1.0472016395914598,2.1739337452293346,5671,16
19,NuScene,minADE,4.890294576866259,1.065626605438652,2.1311103628754218,1.065626605438652,2.1311103628754218,5671,19
20,NuScene,minADE,4.890249209108338,0.9991996782289739,2.0391874389029585,0.9991996782289739,2.0391874389029585,5671,20
21,NuScene,minADE,4.879287663628073,1.0712424900308528,2.1330661393624517,0.9991996782289739,2.0391874389029585,5671,20
22,NuScene,minADE,4.866061181824992,1.043643705051552,2.1336289414062932,0.9991996782289739,2.0391874389029585,5671,20
23,NuScene,minADE,4.863398923403887,1.02081312365558,2.026396739716211,0.9991996782289739,2.0391874389029585,5671,20
24,NuScene,minADE,4.852678895565209,1.190225440428762,2.3767297159866603,0.9991996782289739,2.0391874389029585,5671,20
25,NuScene,minADE,4.845783304144733,0.9551853418055928,1.9317345734395965,0.9551853418055928,1.9317345734395965,5671,25
26,NuScene,minADE,4.841779753589479,0.9547481410740082,1.8863575827232473,0.9547481410740082,1.8863575827232473,5671,26
27,NuScene,minADE,4.834899489944045,0.9406055661657041,1.8381798518353554,0.9406055661657041,1.8381798518353554,5671,27
28,NuScene,minADE,4.832983544596807,0.972918835839904,1.89810700593981,0.9406055661657041,1.8381798518353554,5671,27
29,NuScene,minADE,4.821579231935389,0.9841424455678015,1.9750427955085272,0.9406055661657041,1.8381798518353554,5671,27
30,NuScene,minADE,4.814607328375496,0.923770993879665,1.8019609217541996,0.923770993879665,1.8019609217541996,5671,30
31,NuScene,minADE,4.810602370051398,0.8864375290847964,1.7459926374836,0.8864375290847964,1.7459926374836,5671,31
32,NuScene,minADE,4.8117273918964525,0.8984327106075592,1.7162392306340433,0.8984327106075592,1.7162392306340433,5671,32
33,NuScene,minADE,4.804126289955952,0.8827128075687285,1.7324424446669653,0.8984327106075592,1.7162392306340433,5671,32
34,NuScene,minADE,4.799874520263915,0.8989069421042044,1.7689803888128877,0.8984327106075592,1.7162392306340433,5671,32
35,NuScene,minADE,4.7936477827912105,0.8698858249084467,1.656410909123657,0.8698858249084467,1.656410909123657,5671,35
36,NuScene,minADE,4.7935590789503815,0.8736888001024398,1.6860639692887367,0.8698858249084467,1.656410909123657,5671,35
37,NuScene,minADE,4.778876505519703,0.8562175893337927,1.6810340857804293,0.8698858249084467,1.656410909123657,5671,35
38,NuScene,minADE,4.786590166804522,0.8852773868854746,1.7269734291987453,0.8698858249084467,1.656410909123657,5671,35
39,NuScene,minADE,4.776555110616032,0.8547134150527096,1.6615188614104164,0.8547134150527096,1.6615188614104164,5671,39
40,NuScene,minADE,4.772975721495709,0.8510645182123051,1.6893359636465848,0.8547134150527096,1.6615188614104164,5671,39
41,NuScene,minADE,4.775753116759284,0.8705365730538568,1.7099691336168812,0.8547134150527096,1.6615188614104164,5671,39
42,NuScene,minADE,4.763629095353458,0.8473481102776768,1.6570824784716272,0.8473481102776768,1.6570824784716272,5671,42
43,NuScene,minADE,4.766846953211604,0.8597032840111923,1.701206847991163,0.8473481102776768,1.6570824784716272,5671,42
44,NuScene,minADE,4.760888656864863,0.8551081450732585,1.6571741585083224,0.8473481102776768,1.6570824784716272,5671,42
45,NuScene,minADE,4.757779251790009,0.8301862716002137,1.6144478738549692,0.8301862716002137,1.6144478738549692,5671,45
46,NuScene,minADE,4.761062601601945,0.9264739353050107,1.8424922887283834,0.8301862716002137,1.6144478738549692,5671,45
47,NuScene,minADE,4.766529727626491,0.8452963205982276,1.6558156397750066,0.8301862716002137,1.6144478738549692,5671,45
48,NuScene,minADE,4.761168895351489,0.8416876528044895,1.6395998742714526,0.8301862716002137,1.6144478738549692,5671,45
49,NuScene,minADE,4.752393419299103,0.8690292351335429,1.7079437826281396,0.8301862716002137,1.6144478738549692,5671,45
