epoch,dataset,loss_type,total_loss,ade,fde,min_ade,min_fde,num_traj,min_fde_epoch
0,NuScene,GMM_NLL,59426.59286193363,4.661947816415894,9.553538201873085,4.661947816415894,9.553538201873085,5671,0
1,NuScene,GMM_NLL,25354.73917125708,2.4962423250927874,5.539859726659794,2.4962423250927874,5.539859726659794,5671,1
2,NuScene,GMM_NLL,11442.452420621305,1.6169926882673038,3.3792217543381184,1.6169926882673038,3.3792217543381184,5671,2
3,NuScene,GMM_NLL,5846.01225661625,1.1782362554843118,2.3413156123624614,1.1782362554843118,2.3413156123624614,5671,3
4,NuScene,GMM_NLL,3270.828355992352,0.99166094977228,1.8193362371733612,0.99166094977228,1.8193362371733612,5671,4
5,NuScene,GMM_NLL,2018.9126825620715,0.8509217344501665,1.546421840064342,0.8509217344501665,1.546421840064342,5671,5
6,NuScene,GMM_NLL,1334.8044755750695,0.9192980959856454,1.5738193190427836,0.8509217344501665,1.546421840064342,5671,5
7,NuScene,GMM_NLL,970.0294722904272,0.8358379384866363,1.336197372635633,0.8358379384866363,1.336197372635633,5671,7
8,NuScene,GMM_NLL,748.1599398371904,0.8228820877465343,1.3051920381094324,0.8228820877465343,1.3051920381094324,5671,8
9,NuScene,GMM_NLL,628.7066425268904,0.7494771892148716,1.219777203262052,0.7494771892148716,1.219777203262052,5671,9
10,NuScene,GMM_NLL,546.2362617771652,0.7409037713797672,1.2394894360444928,0.7494771892148716,1.219777203262052,5671,9
11,NuScene,GMM_NLL,512.8895660303356,0.7474330186717747,1.1678383892290052,0.7474330186717747,1.1678383892290052,5671,11
12,NuScene,GMM_NLL,481.49199381769176,0.7436396047733087,1.195793478771863,0.7474330186717747,1.1678383892290052,5671,11
13,NuScene,GMM_NLL,451.8251098244672,0.7366286566849845,1.243887265046802,0.7474330186717747,1.1678383892290052,5671,11
14,NuScene,GMM_NLL,420.8390660126751,0.665819914079053,1.1084402797714445,0.665819914079053,1.1084402797714445,5671,14
