epoch,dataset,loss_type,total_loss,ade,fde,min_ade,min_fde,num_traj,min_fde_epoch
0,NuScene,minADEdiv,11.893286902877977,4.553940622500906,10.358478096128035,4.553940622500906,10.358478096128035,5671,0
1,NuScene,minADEdiv,8.270909516345148,2.6206143910114235,6.3488703448397,2.6206143910114235,6.3488703448397,5671,1
2,NuScene,minADEdiv,6.756841708063511,1.8789293660497017,4.337075822211682,1.8789293660497017,4.337075822211682,5671,2
3,NuScene,minADEdiv,6.076467355597758,1.5575647629919642,3.3972546680539906,1.5575647629919642,3.3972546680539906,5671,3
4,NuScene,minADEdiv,5.75231618608314,1.4617337045415624,3.142645757006203,1.4617337045415624,3.142645757006203,5671,4
5,NuScene,minADEdiv,5.56926089060894,1.4251457961689036,3.0149762761212386,1.4251457961689036,3.0149762761212386,5671,5
6,NuScene,minADEdiv,5.4481218698862435,1.401519228175632,2.9583443103696783,1.401519228175632,2.9583443103696783,5671,6
7,NuScene,minADEdiv,5.379906802943098,1.433857666039841,2.957418356343691,1.401519228175632,2.9583443103696783,5671,6
8,NuScene,minADEdiv,5.3388948008441774,1.3294289477433587,2.777193047596315,1.3294289477433587,2.777193047596315,5671,8
9,NuScene,minADEdiv,5.3143490418341655,1.3453565533462601,2.817881748130178,1.3294289477433587,2.777193047596315,5671,8
10,NuScene,minADEdiv,5.286437757064504,1.3450178127191281,2.7630106913015506,1.3294289477433587,2.777193047596315,5671,8
11,NuScene,minADEdiv,5.27994262319301,1.315631861410072,2.7689859564816,1.315631861410072,2.7689859564816,5671,11
12,NuScene,minADEdiv,5.248319791875697,1.276234451035641,2.6656682231905093,1.276234451035641,2.6656682231905093,5671,12
13,NuScene,minADEdiv,5.21641400508547,1.234569184974774,2.5742434120077324,1.234569184974774,2.5742434120077324,5671,13
14,NuScene,minADEdiv,5.138261293947981,1.1349470487159725,2.3654452965302015,1.1349470487159725,2.3654452965302015,5671,14
15,NuScene,minADEdiv,5.0772754710126184,1.1536327036489489,2.338510119458856,1.1536327036489489,2.338510119458856,5671,15
16,NuScene,minADEdiv,5.039275434703251,1.0653301971212221,2.1914698523916782,1.0653301971212221,2.1914698523916782,5671,16
17,NuScene,minADEdiv,5.006217393283814,1.0774039252685967,2.1971665659692423,1.0653301971212221,2.1914698523916782,5671,16
18,NuScene,minADEdiv,5.00045485867984,1.0045927379354558,2.0268771468048015,1.0045927379354558,2.0268771468048015,5671,18
19,NuScene,minADEdiv,4.979321048445467,0.9965017467048765,2.0251964781991054,0.9965017467048765,2.0251964781991054,5671,19
20,NuScene,minADEdiv,4.958968591614255,0.9917475024852104,1.9888770874163353,0.9917475024852104,1.9888770874163353,5671,20
21,NuScene,minADEdiv,4.930400922681265,0.9420442850243749,1.8824958979526414,0.9420442850243749,1.8824958979526414,5671,21
22,NuScene,minADEdiv,4.923681184104592,1.0253131886971436,2.0426777125119617,0.9420442850243749,1.8824958979526414,5671,21
23,NuScene,minADEdiv,4.924183759856111,1.003141853044618,1.988736777052512,0.9420442850243749,1.8824958979526414,5671,21
24,NuScene,minADEdiv,4.910762973354807,0.9848053987180507,1.9504430325568154,0.9420442850243749,1.8824958979526414,5671,21
25,NuScene,minADEdiv,4.908138567768334,1.0108727438490641,1.9790353016591833,0.9420442850243749,1.8824958979526414,5671,21
26,NuScene,minADEdiv,4.897953799873922,0.9241820612695352,1.8055621809565061,0.9241820612695352,1.8055621809565061,5671,26
